"","SiteIdentification","Easting","Northing","Spacing","YieldClass","elevation","StemsPerHa","Height","Thinning","SoilMoistureRegime","SoilNutrientRegime","plantingYear","Year","treeID","BAI_cm","dbh_cm","lon","lat"
"87","2013",320670,524315,1.7,22,320,1598.745274,23.4769784172662,"1","Fresh","Poor",1973,"1985","SS22",311.49569744356,6.29768719451832,-3.22969852931465,54.6077438645613
"88","2013",320670,524315,1.7,22,320,1598.745274,23.4769784172662,"1","Fresh","Poor",1973,"1985","SS26",132.413861957538,4.10602685470322,-3.22969852931465,54.6077438645613
"89","2013",320670,524315,1.7,22,320,1598.745274,23.4769784172662,"1","Fresh","Poor",1973,"1985","SS28",55.738890842227,2.664,-3.22969852931465,54.6077438645613
"90","2013",320670,524315,1.7,22,320,1598.745274,23.4769784172662,"1","Fresh","Poor",1973,"1985","SS32",NA,NA,-3.22969852931465,54.6077438645613
"91","2013",320670,524315,1.7,22,320,1598.745274,23.4769784172662,"1","Fresh","Poor",1973,"1986","SS01",296.889742033442,6.14826609690244,-3.22969852931465,54.6077438645613
"92","2013",320670,524315,1.7,22,320,1598.745274,23.4769784172662,"1","Fresh","Poor",1973,"1986","SS07",NA,NA,-3.22969852931465,54.6077438645613
"93","2013",320670,524315,1.7,22,320,1598.745274,23.4769784172662,"1","Fresh","Poor",1973,"1986","SS12",89.2039526023554,3.37013352851189,-3.22969852931465,54.6077438645613
"94","2013",320670,524315,1.7,22,320,1598.745274,23.4769784172662,"1","Fresh","Poor",1973,"1986","SS16",110.509278934835,3.75106363582384,-3.22969852931465,54.6077438645613
"95","2013",320670,524315,1.7,22,320,1598.745274,23.4769784172662,"1","Fresh","Poor",1973,"1986","SS17",214.319073836777,5.22378713195704,-3.22969852931465,54.6077438645613
"96","2013",320670,524315,1.7,22,320,1598.745274,23.4769784172662,"1","Fresh","Poor",1973,"1986","SS20",90.1150207550817,3.38729992767101,-3.22969852931465,54.6077438645613
"97","2013",320670,524315,1.7,22,320,1598.745274,23.4769784172662,"1","Fresh","Poor",1973,"1986","SS22",347.37563864465,6.65050674760954,-3.22969852931465,54.6077438645613
