"SiteIdentification","Easting","Northing","Spacing","YieldClass","elevation","StemsPerHa","Height","Thinning","SoilMoistureRegime","SoilNutrientRegime","plantingYear","Year","treeID","BAI_cm","dbh_cm","lon","lat"
"2013",320670,524315,1.7,22,320,1598.745274,23.4769784172662,"1","Fresh","Poor",1973,"1983","SS12",NA,NA,-3.22969852931465,54.6077438645613
"2013",320670,524315,1.7,22,320,1598.745274,23.4769784172662,"1","Fresh","Poor",1973,"1983","SS16",17.3211962283086,4.69617205817674,-3.22969852931465,54.6077438645613
"2013",320670,524315,1.7,22,320,1598.745274,23.4769784172662,"1","Fresh","Poor",1973,"1983","SS17",NA,NA,-3.22969852931465,54.6077438645613
"2013",320670,524315,1.7,22,320,1598.745274,23.4769784172662,"1","Fresh","Poor",1973,"1983","SS20",NA,NA,-3.22969852931465,54.6077438645613
"2013",320670,524315,1.7,22,320,1598.745274,23.4769784172662,"1","Fresh","Poor",1973,"1983","SS22",206.254479831306,16.2052880258266,-3.22969852931465,54.6077438645613
"2013",320670,524315,1.7,22,320,1598.745274,23.4769784172662,"1","Fresh","Poor",1973,"1983","SS26",50.5713143996585,8.02430042576174,-3.22969852931465,54.6077438645613
"2013",320670,524315,1.7,22,320,1598.745274,23.4769784172662,"1","Fresh","Poor",1973,"1983","SS28",0.0313593778681333,0.199819918927018,-3.22969852931465,54.6077438645613
"2013",320670,524315,1.7,22,320,1598.745274,23.4769784172662,"1","Fresh","Poor",1973,"1983","SS32",NA,NA,-3.22969852931465,54.6077438645613
"2013",320670,524315,1.7,22,320,1598.745274,23.4769784172662,"1","Fresh","Poor",1973,"1984","SS01",256.611675836663,18.0756226259568,-3.22969852931465,54.6077438645613
"2013",320670,524315,1.7,22,320,1598.745274,23.4769784172662,"1","Fresh","Poor",1973,"1984","SS07",NA,NA,-3.22969852931465,54.6077438645613
"2013",320670,524315,1.7,22,320,1598.745274,23.4769784172662,"1","Fresh","Poor",1973,"1984","SS12",22.8183299208187,5.39010203985045,-3.22969852931465,54.6077438645613
"2013",320670,524315,1.7,22,320,1598.745274,23.4769784172662,"1","Fresh","Poor",1973,"1984","SS16",22.7882083304561,5.38654323290921,-3.22969852931465,54.6077438645613
"2013",320670,524315,1.7,22,320,1598.745274,23.4769784172662,"1","Fresh","Poor",1973,"1984","SS17",NA,NA,-3.22969852931465,54.6077438645613
"2013",320670,524315,1.7,22,320,1598.745274,23.4769784172662,"1","Fresh","Poor",1973,"1984","SS20",20.4071826919298,5.09737501072856,-3.22969852931465,54.6077438645613
"2013",320670,524315,1.7,22,320,1598.745274,23.4769784172662,"1","Fresh","Poor",1973,"1984","SS22",226.680549778269,16.9887798266974,-3.22969852931465,54.6077438645613
